,ingredient,chemComp
29,apple,"1-Popc|Vanillic acid|Propyl Formate|alpha-Maltose|Isopentyl formate|glycerol|Propyl acetate|daidzein|benzaldehyde|benzyl alcohol|D-Sorbitol|alpha-L-Sorbopyranose|2-Acetylpyrrole|alpha-TERPINEOL|Citronellol|1,3,5-Undecatriene|Ethyl caproate|phloretin|Linamarin|2-Methyl-2-Pentanol|1-octanol|gamma-Caprolactone|salicylic acid|vanillin|Butyl butyrate|(Z)-cinnamyl alcohol|Heptyl acetate|Beta-Pinene|Propyl Hexanoate|hydrogen peroxide|Methyl octanoate|Hexanoic Acid|Isoeugenol|Ethyl Heptanoate|Phenethyl acetate|Isobutyl propionate|ethanol|Butyl hexanoate|Sinapic Acid|Cyclopentanone|Isobutyl hexanoate|dimethyl sulfoxide|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|Methyl butyrate|(-)-Epicatechin gallate|Butyl Heptanoate|succinic acid|3-(Methylthio)propyl acetate|phenylacetaldehyde|trans-2-Hexen-1-Ol|lauric acid|3-Methyl-1-butanol|Ethyl Nonanoate|Pentyl Butyrate|2-(4-Hydroxyphenyl)ethanol|Propyl Isobutyrate|lactic acid|(+)-delta-Cadinene|Isoborneol|Tributyrin|Ethyl pentanoate|calcium lactate|Isobutyl butyrate|Nonyl Acetate|2-Methoxy-4-vinylphenol|isoliquiritigenin|Ethyl Propionate|Butyl laurate|2-Methylbutanoic acid|3-Methyl-1-Pentanol|Isorhamnetin|Methyl Linoleate|3-Methylbutanal|2-Methylbutyl Acetate|3-methylthiopropanol|Citral|palmitic acid|Ethyl Formate|Nonadecane|Isobutyric Acid|3-Octanol|Methyl Acetate|Gamma-undecalactone|3,4-Dihydroxybenzoic Acid|nicotine|alpha-Farnesene|Ethyl 2-methylbutyrate|Isovaleric Acid|3-Heptanone|CID 644104|1-Nonanol|Taxifolin|3-Hexenal|2-Pentanone|3025-30-7|Menthone|Ethyl Butyrate|cis-Cinnamic acid|Isopropyl Acetate|cis-3-Hexenyl acetate|isopropanol|Butyl Formate|Hexyl 2-methylbutanoate|Methyl Valerate|Ethyl Crotonate|Pyrrolidine|Propyl Propionate|Estragole|cis-5-Octen-1-ol|1-Dodecanol|6-Methyl-5-Hepten-2-One|2-Pentyl Acetate|4-Vinylphenol|quercetin|Isoamyl propionate|Butyl isobutyrate|Butyl propionate|hydrogen cyanide|Methyl isovalerate|1-Decanol|Butyl acetate|2-Butanol|oleic acid|Ethyl Acetate|Ethyl Isobutyrate|4-Hexen-3-One|Hexyl propionate|Gallocatechin|butyraldehyde|Decanoic acid|Benzyl Acetate|1-propanol|Methyl Hexanoate|Heptanal|Alpha-Pinene|D-Lactic acid|4-hydroxybenzaldehyde|1-butanol|p-coumaric acid|Amyl acetate|Linalool|Isoamyl butyrate|Octan-2-ol|coumarin|Isopentyl hexanoate|Methyl Benzoate|Octyl butyrate|1-Methylnaphthalene|3-Hexanone|Geraniol|Ethyl (methylthio)acetate|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|4-Heptanone|Phlorizin|4-Methylpentanoic Acid|(-)-Epigallocatechin|cis-2-Hexen-1-ol|methanethiol|2-Ethylbutyric Acid|DL-Liquiritigenin|Isobutyl Formate|16491-36-4|Ethyl Decanoate|Methyl Isobutyrate|Hexanal|Damascenone|2-Methyl-1-Butanol|Heptanoic Acid|trans-2-Hexenyl acetate|Isopropyl Benzoate|cinnamyl alcohol|Ethyl Vinyl Ketone|Undecanal|Tangeretin|Ethyl cis-4-octenoate|betaine|Methyl Nonanoate|Phenylacetic Acid|Methyl tetradecanoate|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|trans-2-Hexenal|2-Pentanol|Pentanal|Undecanoic Acid|Acetal|Butyl Anthranilate|2-Phenylethanol|Terpinen-4-ol|Hexyl isobutyrate|trans-2-Hexenoic acid|(+)-Neomenthol|NSC5112|Nonanal|acetoin|apigenin|Methyl 2-methylbutyrate|4-Hydroxybenzoic Acid|octanoic acid|5-Methylfurfural|thiamine|trans-2-Octen-1-Ol|3-Phenylpropanoic acid|Propionaldehyde|2-Undecanol|Hexyl acetate|Pentyl formate|Acrolein|Decyl Acetate|indole|Isoamyl Acetate|2,3-butanedione|Dodecanal|Propyl heptanoate|Cinnamic Acid|Farnesal|Valeric acid|3-Methyl-2-Butanol|3,4-Dihydroxybenzaldehyde|Ethanamine|propionic acid|farnesol|Hexyl Hexanoate|Daidzin|L-Malic acid|2-Methylbutyraldehyde|Styrene|Ethyl Octanoate|2-Methyl-1-propanol|formic acid|Hexyl formate|Hexyl Butyrate|Methyl jasmonate|kaempferol|Octan-2-one|1-Hexanol|Dl-Alanine|1-Heptanol|Ethyl Phenylacetate|2-Heptanol|D-mannitol|indole-3-acetic acid|Butyl pentanoate|Isoquercitrin|1-Pyrroline|Ethyl Undecanoate|benzoic acid|Geranyl Acetate|Butyl 2-methylbutyrate|Furfuryl Alcohol|Amylamine|acetaldehyde|Methyl Dodecanoate|Amyl octanoate|Propyl butyrate|Allyl Alcohol|Cianidanol|Pentyl Hexanoate|Isobutyl Acetate|Decanal|Isopentyl octanoate|naringenin|Isobutyraldehyde|Isoamylamine|Ethyl dodecanoate|2-Methyl-2-Butanol|stearic acid|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|1-Undecanol|2-(4-methylphenyl)propan-2-ol|Benzyl Benzoate|Ethyl Benzoate|2-Nonanol|trans-3-Hexen-1-ol|Butyl Stearate|arbutin|3-Methylbutyl 2-methylbutanoate|1-Phenylethyl isobutyrate|Neral|103-61-7|2-Furaldehyde|Ethyl 2-octenoate|Diethylamine|3-Methyl-2-butenal|3-Pentanone|Anisole|Diethyl Succinate|Ethyl Lactate|Heptyl butyrate|acetone|methylglyoxal|2-Butanone|luteolin|2-METHYLBUTYL 2-METHYLBUTYRATE|Hexyl octanoate|Nonanoic Acid"
30,fruits,2-Furaldehyde|Ethyl Decanoate|Tetradecanal|Ethyl Butyrate|6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol|Geranyl Acetate|Hexanal|Geraniol|1-octanol|Nonanal|1-Undecanol|Myrcene|acetone|phenylacetaldehyde|Alpha-Phellandrene|Nonyl Acetate|Terpinolene|Beta-Pinene|1-Hexanol|Terpinyl propionate|Nerolidol|Valencene|hydrogen sulfide|3-Methyl-1-butanol|Piperitenone|Decanal|Eucalyptol|3-Methyl-2-Buten-1-Ol|1-Nonanol|alpha-TERPINEOL|2-Pentanone|Linalool|2-Ethylbutanal|l-ascorbic acid|Gamma-Terpinene|nerol|Hexyl acetate|Perillaldehyde|trans-2-Hexenal|Ethyl 3-hydroxyhexanoate|P-Cymene|Linalyl Acetate
31,soup,Thiamine Hydrochloride|CID 644104|Heptanoic Acid|thiamine|betaine
32,quesadilla,thiamine|CID 644104|Heptanoic Acid
33,urad dal,
34,marinara,
35,condiment,
36,tandoori,
37,bitter gourd,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|3-Hexanone|Methyleugenol|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|methanethiol|daidzein|Cedrol|benzaldehyde|Dipentene|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|phloretin|1-Pyrroline|Spathulenol|Menthone|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|salicylic acid|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|Apiole|Allyl Alcohol|Nerolidol|hydrogen peroxide|Beta-Phellandrene|Isoeugenol|betaine|l-Menthol|Eucalyptol|Phenethyl acetate|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|P-Cymene|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|beta-Bisabolol|trans-3-Hexen-1-ol|MLS002702988|thiamine|trans-Anethole|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|(-)-Limonene|3-Methyl-2-butenal|3-Pentanone|(-)-Germacrene D|safrole|(-)-Carvone|2-(4-Hydroxyphenyl)ethanol|Lycopene|D-Limonene|(+)-delta-Cadinene|Acrolein|(+)-Dihydrocarveol|indole|Tributyrin|Heptanal|Alpha-Pinene|calcium lactate|acetone|2-Butanone|2,3-butanedione|Myristicin|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|3,4-Dihydroxybenzaldehyde|Alpha-Selinene|p-coumaric acid|Linalool|Beta-Selinene|3-Methylbutanal|farnesol"
38,filo,
39,poori,
40,date,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|Vanillic acid|3-Hexanone|Geraniol|Ethyl 3-methylpentanoate|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|L-Rhamnose|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|phloretin|1-Pyrroline|Menthone|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|Heptanoic Acid|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|L-histidine|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|quercetin|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|Thiamine Hydrochloride|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|thiamine|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|3-Methyl-2-butenal|3-Pentanone|2-(4-Hydroxyphenyl)ethanol|Lycopene|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Heptanal|calcium lactate|acetone|2-Butanone|2,3-butanedione|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|3,4-Dihydroxybenzaldehyde|p-coumaric acid|3-Methylbutanal|farnesol"
41,yeast,
42,rasam,
43,venison,
44,cherry,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|Violet leaf aldehyde|3-Hexanone|Geraniol|alpha-Maltose|Methyl Acetate|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|4-Methoxyphenylacetone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|(-)-Epigallocatechin|kaempferol|methanethiol|1-Hexanol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|alpha-TERPINEOL|D-mannitol|indole-3-acetic acid|phloretin|Ethyl Decanoate|1-Pyrroline|Menthone|benzoic acid|Hexanal|Damascenone|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|Cianidanol|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|ethanol|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|2-Pentyl Acetate|(-)-Epigallocatechin gallate|(-)-Epicatechin gallate|quercetin|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|thiamine|3-Methyl-1-butanol|3-Phenylpropanoic acid|Ethyl Acetate|Propionaldehyde|4-Hexen-3-One|Neral|Gallocatechin|3-Methyl-2-butenal|3-Pentanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Myrcene|Heptanal|calcium lactate|acetone|Isobutyl benzoate|2-Butanone|2,3-butanedione|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|Ethyl Cinnamate|3,4-Dihydroxybenzaldehyde|p-coumaric acid|propionic acid|3-Methylbutanal|farnesol"
45,spring roll,
46,green apple,
47,baby corn,
48,tuna,thiamine|CID 644104
49,tamarind,"coumarin|Methyl Benzoate|d-Piperitone|AC1L9CNW|1-Methylnaphthalene|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|methanethiol|daidzein|benzaldehyde|benzyl alcohol|Methyl 2-furoate|alpha-L-Sorbopyranose|Glutaric Acid|DL-Liquiritigenin|Methyl propenyl ketone|alpha-TERPINEOL|phloretin|DL-Tartaric acid|2,6-Dimethylpyrazine|Beta-Caryophyllene|Mesityl Oxide|Hexanal|Damascenone|Linamarin|2-Methyl-1-Butanol|1-octanol|Heptanoic Acid|guaiacol|salicylic acid|Tetradecanoic acid|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|2,3-Pentanedione|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Beta-Ionone|Isoeugenol|(+)-alpha-Terpineol|betaine|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|2-Phenylethanol|Terpinen-4-ol|(+)-Neomenthol|succinic acid|(Z)-Ethyl cinnamate|NSC5112|gamma-Ionone|Nonanal|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|alpha-Muurolene|lauric acid|octanoic acid|5-Methylfurfural|thiamine|3-Methyl-1-butanol|3-Phenylpropanoic acid|Propionaldehyde|1-Methyl-1H-pyrrole|safrole|2-(4-Hydroxyphenyl)ethanol|lactic acid|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|calcium lactate|2-Methylfuran|2,3-butanedione|2-Methoxy-4-vinylphenol|Alpha-Ionone|isoliquiritigenin|Cinnamic Acid|Farnesal|CID 12305247|2-Methylbutanoic acid|Biphenyl|3,4-Dihydroxybenzaldehyde|Methyl Linoleate|nerol|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|6753-98-6|Citral|Piperitone|2-Methyl-1-propanol|palmitic acid|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|Pyrrole|kaempferol|1-Heptanol|Maltol|Beta-Elemene|Dipentene|CID 644104|1-Nonanol|Taxifolin|D-mannitol|indole-3-acetic acid|Propiophenone|1-Pyrroline|Menthone|Geranyl Acetate|cis-3-Hexenyl acetate|phenol|Allyl Alcohol|Isobutyl Acetate|P-Cresol|naringenin|Isobutyraldehyde|6-Methyl-5-Hepten-2-One|2-Methyltetrahydrofuran-3-One|4-Vinylphenol|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|1-Undecanol|hydrogen cyanide|Benzyl Benzoate|methyl salicylate|trans-3-Hexen-1-ol|oleic acid|Ethyl Acetate|4-Hexen-3-One|Neral|2-Furaldehyde|2-Acetylfuran|3-Methyl-2-butenal|trans,trans-2,4-Heptadienal|3-Pentanone|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|(+)-gamma-cadinene|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|gamma-Nonanolactone|p-coumaric acid|Octadecane|Linalool|Nonanoic Acid|Carvacrol"
50,turkey,"Thiamine Hydrochloride|CID 644104|4-Ethylbenzaldehyde|L-histidine|2-Acetylthiazole|Octane-2,3-dione|Propionaldehyde|2-Pentylpyridine|Heptanoic Acid|Dl-Phenylalanine|methylglyoxal|L-phenylalanine|2-Hexylthiophene|thiamine|(E)-Hept-2-enal|betaine|trans-2-Octen-1-Ol"
51,eggplant,"coumarin|Methyl Benzoate|Tetradecane|Vanillic acid|3-Hexanone|Geraniol|alpha-Maltose|P-Xylene|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|M-Xylene|(-)-Epigallocatechin|methanethiol|daidzein|55123-21-2|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|3-Carene|Heptadecane|toluene|phloretin|Hexanal|Linamarin|2-Methyl-1-Butanol|Heptanoic Acid|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Methylcyclohexane|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|1,3-Dichlorobenzene|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|(-)-Epicatechin gallate|Bisabolene|2-Phenylethanol|Eicosane|(+)-Neomenthol|succinic acid|NSC5112|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|cis-1,4-Dimethylcyclohexane|Ethylcyclohexane|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|Tridecane|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|octane|Dl-Phenylalanine|calcium lactate|2,3-butanedione|isoliquiritigenin|Cinnamic Acid|Farnesal|Biphenyl|3,4-Dihydroxybenzaldehyde|Isorhamnetin|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|Nonadecane|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|Heptane|Dl-Methionine|1-Pyrroline|Menthone|Geranyl Acetate|cis-3-Hexenyl acetate|Allyl Alcohol|Cianidanol|dimethyl sulfide|(Z)-Hex-3-en-1-ol|naringenin|Isobutyraldehyde|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|Dichloromethane|Octanal|Thiamine Hydrochloride|hydrogen cyanide|Benzyl Benzoate|trans-3-Hexen-1-ol|Ethyl Acetate|4-Hexen-3-One|Neral|Gallocatechin|3-Methyl-2-butenal|3-Pentanone|Pentadecane|Lycopene|2-Pentylfuran|Heptanal|acetone|2-Butanone|Hexadecane|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|Octadecane|p-coumaric acid"
52,spinach,"1-Popc|coumarin|Methyl Benzoate|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|methanethiol|daidzein|2-Undecenal|Pyridine|benzaldehyde|Coumestrol|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|6,10,14-Trimethylpentadecan-2-one|phloretin|2E,4Z-Decadienal|Hexanal|Linamarin|2-Methyl-1-Butanol|1-octanol|Heptanoic Acid|salicylic acid|Farnesyl acetone|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|4a(2H)-Naphthol, octahydro-4,8a-dimethyl-|Beta-Ionone|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|trans-2-Hexenal|Safranal|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|1-Octen-3-Ol|2-Phenylethanol|(+)-Neomenthol|succinic acid|NSC5112|Nonanal|Dihydro-beta-ionone|2,5-dimethylthiophene-3-carbaldehyde|apigenin|Geranylacetone|cis-2-Penten-1-ol|phenylacetaldehyde|trans-2-Hexen-1-Ol|thiamine|3-Methyl-1-butanol|3-Phenylpropanoic acid|Propionaldehyde|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Dl-Phenylalanine|calcium lactate|2,3-butanedione|2-Methoxy-4-vinylphenol|isoliquiritigenin|Cinnamic Acid|Farnesal|(E)-Hept-2-enal|3,4-Dihydroxybenzaldehyde|Ethanamine|1-Penten-3-Ol|Bovolide|3-Methylbutanal|farnesol|Daidzin|(2E,4E)-deca-2,4-dienal|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|Violet leaf aldehyde|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|1-Hexanol|CID 644104|Taxifolin|D-mannitol|2-Pentanone|indole-3-acetic acid|Dl-Methionine|1-Pyrroline|Menthone|Geranyl Acetate|cis-3-Hexenyl acetate|Amylamine|Allyl Alcohol|beta-Cyclocitral|Pyrrolidine|(Z)-Hex-3-en-1-ol|Thiophene-2-carbaldehyde|naringenin|Isoamylamine|Isobutyraldehyde|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|Octadienal|Acetophenone|hydrogen cyanide|Benzyl Benzoate|trans-3-Hexen-1-ol|Ethyl Acetate|4-Hexen-3-One|Neral|Diethylamine|3-Methyl-2-butenal|3-Pentanone|trans-2-Decenal|trans-2-Octenal|Phytol|Heptanal|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|p-coumaric acid"
53,crepe,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|phloretin|1-Pyrroline|Menthone|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|thiamine|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|3-Methyl-2-butenal|3-Pentanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Heptanal|calcium lactate|acetone|2-Butanone|2,3-butanedione|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|3,4-Dihydroxybenzaldehyde|p-coumaric acid|3-Methylbutanal|farnesol"
54,methi,
55,shallot,"coumarin|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|D-mannitol|trimethylamine|indole-3-acetic acid|Isoquercitrin|phloretin|1-Pyrroline|Menthone|1-Propanethiol|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|salicylic acid|vanillin|Dimethyl disulfide|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|Dipropyl trisulfide|hydrogen peroxide|Isoeugenol|Disulfide, methyl 1-propenyl|betaine|Phenethyl acetate|3-Methylbutanal|Phenylacetic Acid|Isobutyraldehyde|naringenin|cis-3-Hexenal|cinnamaldehyde|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|quercetin|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|succinic acid|Octanal|NSC5112|Dimethyl trisulfide|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|thiamine|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|2-Undecanone|3-Methyl-2-butenal|3-Pentanone|2-Tridecanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Heptanal|calcium lactate|acetone|2-Butanone|2,3-butanedione|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Dipropyl disulfide|Farnesal|luteolin|2-Methyl-2-Pentenal|3,4-Dihydroxybenzaldehyde|Methyl propyl disulfide|p-coumaric acid|1-Penten-3-Ol|Methyl propyl trisulfide|farnesol"
56,misal pav,
